"transactionid","date","transType","meterReading","prevReading","usage","contypeid","discountcode","bill","is_billpaid","month","year","receivedamt","payment","processedBy","or_number","acctID_id","penaltyCode_id"
"132628","2023-02-15","Billing","1337","1322","15","C001",None,"25","1","1","2023",None,"0","liza1973","","0000001422-01",None
"132629","2023-02-15","Billing","6391","6391","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000964-01",None
"132630","2023-02-15","Billing","0","5438","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000479-01",None
"132631","2023-02-15","Billing","2132","2102","30","C001",None,"55","0","1","2023",None,"0","liza1973","","0000001181-01",None
"132632","2023-02-15","Billing","1138","1118","20","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001585-01",None
"132633","2023-02-15","Payment",None,None,None,None,None,None,"0","11","2022",None,"106","liza1973","","0000001585-01",None
"132634","2023-02-15","Received Amount",None,None,None,None,None,None,"0","11","2022","106",None,"liza1973","9963826","0000001585-01",None
"132635","2023-02-15","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000001585-01",None
"132636","2023-02-15","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963826","0000001585-01",None
"132637","2023-02-15","Billing","2302","2264","38","C001",None,"79","1","1","2023",None,"0","liza1973","","0000002092-01",None
"132638","2023-02-15","Billing","4992","4981","11","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000677-01",None
"132639","2023-02-15","Billing","3862","3809","53","C001",None,"124","0","1","2023",None,"0","liza1973","","0000000616-01",None
"132640","2023-02-15","Received Amount",None,None,None,None,None,None,"0","2","2023","182",None,"liza1973","9963827","0000002092-01",None
"132641","2023-02-15","Payment",None,None,None,None,None,None,"0","1","2023",None,"79",None,"","0000002092-01",None
"132642","2023-02-15","Payment",None,None,None,None,None,None,"0","12","2022",None,"103",None,"","0000002092-01",None
"132643","2023-02-15","Billing","654","623","31","C001",None,"58","0","1","2023",None,"0","liza1973","","0000000678-01",None
"132644","2023-02-15","Billing","318","291","27","C001",None,"46","0","1","2023",None,"0","liza1973","","0000002042-01",None
"132645","2023-02-15","Billing","8090","8090","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000679-01",None
"132646","2023-02-15","Billing","8211","8197","14","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000681-01",None
"132647","2023-02-15","Billing","3242","3237","5","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000682-01",None
"132648","2023-02-15","Billing","435","424","11","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000683-01",None
"132649","2023-02-15","Billing","797","731","66","C001",None,"163","0","1","2023",None,"0","liza1973","","0000001177-01",None
"132650","2023-02-15","Billing","1420","1392","-1392","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001225-01",None
"132651","2023-02-15","Billing","4391","4345","46","C001",None,"103","0","1","2023",None,"0","liza1973","","0000001362-01",None
"132652","2023-02-15","Billing","2413","2413","2413","C001",None,"7204","0","1","2023",None,"0","liza1973","","0000001379-01",None
"132653","2023-02-15","Received Amount",None,None,None,None,None,None,"0","2","2023","50",None,"liza1973","9963828","0000001081-01",None
"132654","2023-02-15","Payment",None,None,None,None,None,None,"0","1","2023",None,"25",None,"","0000001081-01",None
"132655","2023-02-15","Payment",None,None,None,None,None,None,"0","12","2022",None,"25",None,"","0000001081-01",None
"132656","2023-02-15","Billing","0","0","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001441-01",None
"132657","2023-02-15","Billing","2413","2413","0","C001",None,"25","0","12","2022",None,"0","liza1973","","0000001379-01",None
"132658","2023-02-15","Billing","1365","1358","7","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000657-01",None
"132659","2023-02-15","Billing","1698","1686","12","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001387-01",None
"132660","2023-02-15","Payment",None,None,None,None,None,None,"0","6","2021",None,"64","liza1973","","0000001422-01",None
"132661","2023-02-15","Received Amount",None,None,None,None,None,None,"0","6","2021","64",None,"liza1973","1233","0000001422-01",None
"132662","2023-02-15","Billing","1146","1101","45","C001",None,"100","0","1","2023",None,"0","liza1973","","0000001442-01",None
"132663","2023-02-15","Billing","3008","2987","21","C001",None,"28","0","1","2023",None,"0","liza1973","","0000001443-01",None
