"transactionid","date","transType","meterReading","prevReading","usage","contypeid","discountcode","bill","month","year","payment","processedBy","or_number","acctID_id","penaltyCode_id"
"24252","2023-02-09","Billing","4451","0","4451","C001",\N,"13318","1","2023","0","liza1973","","0000000240-01",\N
"24253","2023-02-09","Billing","1429","1422","7","C001",\N,"25","1","2023","0","liza1973","","0000001039-01",\N
"24254","2023-02-09","Billing","926","0","926","C001",\N,"2743","12","2022","0","liza1973","","0000000243-01",\N
"24255","2023-02-09","Billing","926","926","0","C001",\N,"25","1","2023","0","liza1973","","0000000243-01",\N
"24258","2023-02-09","Billing","2109","2093","16","C001",\N,"25","1","2023","0","liza1973","","0000000248-01",\N
"24259","2023-02-09","Billing","565","486","565","C001",\N,"1660","12","2022","0","zen1971","","0000001785-01",\N
"24260","2023-02-09","Billing","0","565","0","C001",\N,"25","12","2022","0","zen1971","","0000001357-01",\N
"24261","2023-02-09","Billing","569","565","4","C001",\N,"25","1","2023","0","zen1971","","0000001785-01",\N
"24262","2023-02-09","Billing","0","0","0","C001",\N,"25","1","2023","0","zen1971","","0000001357-01",\N
"24263","2023-02-09","Billing","2215","0","2215","C001",\N,"6610","12","2022","0","zen1971","","0000001788-01",\N
"24264","2023-02-09","Billing","2215","0","0","C001",\N,"25","1","2023","0","zen1971","","0000001788-01",\N
"24265","2023-02-09","Billing","0","1689","-1689","C001",\N,"25","1","2023","0","zen1971","","0000001360-01",\N
"24266","2023-02-09","Billing","5994","5975","19","C001",\N,"25","1","2023","0","liza1973","","0000000251-01",\N
"24267","2023-02-09","Billing","2980","2961","19","C001",\N,"25","1","2023","0","liza1973","","0000000253-01",\N
"24268","2023-02-09","Billing","1634","0","1634","C001",\N,"4867","12","2022","0","liza1973","","0000000256-01",\N
"24269","2023-02-09","Billing","1634","1634","0","C001",\N,"25","1","2023","0","liza1973","","0000000256-01",\N
"24270","2023-02-09","Billing","3384","3370","14","C001",\N,"25","1","2023","0","liza1973","","0000000259-01",\N
"24271","2023-02-09","Billing","9187","9175","12","C001",\N,"25","1","2023","0","liza1973","","0000000262-01",\N
"24272","2023-02-09","Billing","1334","0","1334","C001",\N,"3967","12","2022","0","liza1973","","0000001138-01",\N
"24273","2023-02-09","Billing","1334","1334","0","C001",\N,"25","1","2023","0","liza1973","","0000001138-01",\N
"24274","2023-02-09","Billing","867","823","162","C001",\N,"451","1","2023","0","liza1973","","0000001896-01",\N
"24275","2023-02-09","Billing","2401","0","2401","C001",\N,"7168","12","2022","0","liza1973","","0000000264-01",\N
"24276","2023-02-09","Billing","2404","2401","3","C001",\N,"25","1","2023","0","liza1973","","0000000264-01",\N
"24278","2023-02-09","Billing","2450","2403","47","C001",\N,"106","1","2023","0","liza1973","","0000000478-01",\N
"24280","2023-02-09","Billing","4827","0","4827","C001",\N,"14446","12","2022","0","ryanbohol","","0000000116-01",\N
"24281","2023-02-09","Billing","4827","4827","0","C001",\N,"25","1","2023","0","ryanbohol","","0000000116-01",\N
"24283","2023-02-09","Billing","2358","2230","128","C001",\N,"349","1","2023","0","liza1973","","0000001568-01",\N
"24287","2023-02-13","Billing","6233","6210","23","C001",\N,"34","1","2023","0","liza1973","","0000000054-01",\N
"24288","2023-02-13","Billing","0","17955","-17955","C001",\N,"25","1","2023","0","liza1973","","0000000758-01",\N
"24290","2023-02-13","Billing","9853","0","9853","C001",\N,"29524","1","2023","0","liza1973","","0000000185-01",\N
